,name,price,location,offerer,id,description,year,manufacturer,model,category,length,fuel_type,hull_material,hull_shape,country
0,1976 Ketch Baarda Zeegrundel1976 Ketch Baarda Zeegrundel,24500.0,"dinteloord, niederlande",Sealion Yachts,8222682,"General: The Zeegrundel was originally designed around 1968 and shows similarities with the Zeeschouw. The design deliberately deviated from the traditional flat bottoms in order to create a number of improvements. Designer Baarda has further developed the Sipman models, and the larger Baarda Zeegrundel's were given a much more spacious interior. This Baarda Zeegrundel has bilge keels instead of swords, a spacious center cockpit with benches which can be covered with a cockpit tent. The powerful Indenor 40hp diesel engine is reached through a hatch in the cockpit floor. Central in the cockpit is the steering position with steering wheel and sloop compass. The mainmast, mizzenmast and spars have recently been repainted. The main boom can be lowered with a hand winch and trestle. Traps are secured on the nail bank near the mast and the jib sheets are operated with the winches on the cockpit edge. Furthermore, a varnished wooden boat pole, pick hook, removable swimming ladder and gangway are part of the equipment. Thanks to the limited draft, the Zeegrundel has a large sailing area. Without rigging, the Zeegrundel can also be sailed as a motorboat, to make trips through the interior.
Interior: The cabin has a dinette with comfortable sofas that can be converted into a double bed by lowering the table. Headroom is good with approx. 1.90m. In the open forecastle is another spacious bed, with cupboard space underneath. The wet cell has a pump toilet. Next to the cabin entrance to starboard is a galley, with sink and cold running water. There is a possibility to place a stove on alcohol or gas on the worktop. There is a gas well with drain, but it is not currently in use. The 12V cool box is placed under the cockpit seat. The aft cabin has its own entrance through a door with sliding hatch in the cockpit. Here is a large bed and a small cot, the latter of which is now used for storage. Headroom is limited with approx. 1.45m. In the aft cabin is also an inspection shaft, which gives access to the propeller, allowing inspection of the propeller in the water. There is an extensive manual of the Baarda Zeegrundel, which has been compiled by the current owner, with all parts of the boat and information regarding maintenance.Mehr anzeigen",1976,Ketch,Baarda Zeegrundel,Lastkahnsegelboote,900.0,diesel,steel,,netherlands
1,1979 Dufour 28001979 Dufour 2800,9900.0,"greifswald, deutschland",Privater Verkäufer,8457402,"Selling a well-preserved and equipped sailing yacht Dufour 2800, built in 1979: 8.30 meters long, 2.95 meters wide, draft 1.60. The ship is - typically French - comfortable and stable to sail and has plenty of space for up to 2 adults and 2 children. The ship has a teak deck, a new spray hood from Wendel & Rados, a bathing ladder with teak steps, anchor with chain, compass in the cockpit, speedometer, wind gauge and echo sounder, lines are laid in the cockpit.
Mahogany interior, fold-away table for 4 people, sink, alcohol stove (no gas -:)), cool box, sanitary area with sink and large mirror, electric sea toilet, Wabasco heating. Upholstery in excellent condition in the bow berth and the berths in the saloon. Headroom: 1.85 meters.
Technology: Simrad radio with AIS (reception), weather box, radio, autopilot. The engine is an original Volvo Senta MD7a (diesel, 13 hp) and runs like a VW Beetle. He has never let us down on 12 tours across the Channel to and from Berlin via Stettin and the Lagoon to the Baltic Sea. In winter he had another service at Wendel & Rados with a change of engine and transmission oil, a new oil filter, a new fuel filter, installation of a new V-belt and checking the seals. The stuffing box has just been renewed. When the ship was pulled out of the water, there were almost no shells or similar on the underwater hull. ""The antifouling works great,"" said the expert.
The paint is from Peter Wrede!! Due to the fenders it is a bit worn in some places, there are also some scratches. After a professional polish at Wrede in Greifswald almost everything would disappear and the boat would shine even more. Since the polish at Wrede (preferably in winter storage) should cost around 1000 euros, I discount 700 euros for it and sell the ship for a fixed price of 9200 euros.Show more",1979,Dufour,2800,Segelboote mit Kajüte,83.0,diesel,GFK / fiberglas / polyester,,germany
2,2010 Van der Graaf Classic Schooner2010 Van der Graaf Classic Schooner,12000000.0,"contact de valk antibes, frankreich",De Valk Group B.V,7936534,"Model: VAN DER GRAAF CLASSIC SCHOONER Type: sailing yacht LOA (m): 65,84 LWL (m): 41,15 Beam (m): 8,85 Draft (m): 5,00 Year built: 2010 Builder: Van Der Graaf BV Country: The Netherlands Designer: William Gardner Displacement (t): 303 Gross tonnage: 268 CE norm: A Hull material: steel Hull colour: Raven black high gloss Superstructure material: teak Deck material: deck length : 56,39m teak Deck finish: teak Superstructure deck finish: teak Fuel tank (litre): 12.000 Fuel daytank (litre): 3.200 (2x 1.600) Freshwater tank (litre): 3.200 (2x 1.600) Blackwater tank (litre): 4.000 Greywater tank (litre): 4.000 This fabulous 64,5 m sailing yacht was built by Van Der Graaf BV as a replica of the legendary ATLANTIC, which was launched in 1903 and commissioned by Wilson Marshall, former New York Yacht club member. She boasts an impressive deck length of over 56m, offering plenty of space for rigging beneath her 3 impressive masts. The Classic Shooner accommodates up to 12 guests and 12 crew members in beautiful and comfortable staterooms. Her teak and mahogany joinery contribute to a timeless and classical wooden interor design. Her exquisite features will take you back in time !
For more information: VAN DER GRAAF CLASSIC SCHOONER for sale at De Valk Yachtbrokers - Click here:Mehr anzeigen",2010,Van der Graaf,Classic Schooner,Slup Boote,65.84,diesel,steel,,france
3,2010 Custom Van Der Graaf BV Schooner2010 Custom Van Der Graaf BV Schooner,12000000.0,"imperia, italien",Bernard Gallay Yacht Brokerage,6751543,"Price On Application
 
The current ATLANTIC is the replica of legendary ATLANTIC which was commissioned by New York Yacht Club member Wilson Marshall, Atlantic and which was launched in 1903.After owning, restoring, rebuilding or recreating a number of famous yachts such as Thendara, Aile Blanche, Borkumriff, Zaca a te Moana and most recently the Herreshoffracing schooner Eleonora, Dutch yachtsman Ed Kastelein planned his ultimate masterpiece: the recreation of the 3-mast schooner Atlantic. Over three years of technical and historical research resulted in sufficiently detailed plans and information to enable a highly accurate and authentic recreation.Having set a new standard with his creation of Eleonora, Ed Kastelein built on his vast experience and has once again constructed a yacht that no-one thought would ever sail again. The project was certainly his most ambitious; with her length over deck of 185 feet (56 metres) she is the largest classic racing schooner ever to be recreated. Ed Kastelein was determined for her to be the way she was when she wrote history in 1905, her original lines were honoured to the finest detail and her sail plan is identical to that of her victorious 1905 Transatlantic Race which made her immortal in yachting history. Above all, she is again breathtakingly beautiful, turning heads wherever the wind takes her.Atlantic's dimensions are simply incredible; over deck she measures a remarkable 56 meters. Her graceful sheer line and long overhangs accentuate her grace while her waterline length of 42 meters and narrow beam are a promise of unmatched speed under sail. Her spars tower some 45 meters above the waterline and support a staggering area of 1,750 m² of sail, more than two and a half times that of the already awesome J-Class yachts.Mehr anzeigen",2010,Custom,Van Der Graaf BV Schooner,Schoner,64.5,diesel,steel,,italy
4,2008 Custom Build Gulet2008 Custom Build Gulet,5000000.0,türkei,Gino Group,469955,"A beautiful 43m Gulet classic luxury style built to the highest standards - definitely must be seen to be appreciated. Iroko on Mahogany hull, 2 x 720 HP MAN engines, ideal for upmarket charters. A jacuzzi on the forward deck provides the most relaxing way of admiring the surroundings.  Mehr anzeigen",2008,Custom Build,Gulet,Segelyachten,42.98,diesel,wood,,turkey
6,2015 Bodrum Custom2015 Bodrum Custom,7950000.0,"sud de la france, frankreich",SARL YACHTSIDE MONACO,8404683,Make: BODRUM Model: Custom Year: 2015Show more,2015,Bodrum,Custom,Sonstige (Segelboote),39.9,diesel,ferrocement,,france
7,1986 Fjellstrand DSC Passenger Catamaran1986 Fjellstrand DSC Passenger Catamaran,987000.0,"contact de valk corfu, griechenland",De Valk Group B.V,7937781,"Model: FJELLSTRAND DSC PASSENGER CATAMARAN Type: catamaran motor yacht LOA (m): 38,80 Beam (m): 9,40 Draft (m): 2,29 Year built: 1986 Builder: Fjellstrand Country: Norway Gross tonnage: 397 Net tonnage: 124 Hull material: aluminium Hull colour: 32% of the hull plates have been replaced (2021) off-white Fuel tank (litre): 15000 Freshwater tank (litre): 1500 Blackwater tank (litre): 1000 Inside helm position: yes Extra info: Central ventilation & heating Extra info: New UTG Report Extra info: Ship now category GMDSS A1 & A2 Large capacity high-speed DSC Catamaran built in 1986 in Norway. Engines overhauled in 2021 plus one EXTRA Spare engine, plus extra spare propellers blades and spare full gear set. She has sailed thousands of tourists and locals in the Freetown area of Sierra Leone for many years. At present she is on the Dry Dock for annual antifouling & engines overhaul. The ship has aluminium hull, 12 new batteries (2021) and she is surveyed by CONARINA surveyors. Fully equipped for international voyages.
For more information: FJELLSTRAND DSC PASSENGER CATAMARAN for sale at De Valk Yachtbrokers - Click here:Mehr anzeigen",1986,Fjellstrand,DSC Passenger Catamaran,Katamarane und Trimarane,38.8,diesel,Aluminium,other,greece
8,1911 William Fife & Sons 38Meter1911 William Fife & Sons 38Meter,3500000.0,"london, greater london",Boats & Barcos Mediterráneos SL,6081675,"Designed and built by William Fife, ""Mariquita"" is a 1911 Gaff Rigged Cutter, restored back to her former glory in 2004. She has since then go on to participate in numerous races, winning both the 2014 and 2015 ""Panerai Big Boat Series"", and is one of the few last remaining 19 meter class yachts.Mehr anzeigen",1911,William Fife,& Sons 38Meter,Klassische Segelboote,38.1,diesel,wood,,afghanistan
9,2007 Schooner Eldorado2007 Schooner Eldorado,1300000.0,"contact de valk amsterdam, deutschland",De Valk Group B.V,7936739,"Model: SCHOONER ELDORADO Type: sailing yacht LOA (m): 38,00 Beam (m): 6,50 Draft (m): 3,00 Air draft (m): 28,00 Year built: 2007 Launched: 2010 Builder: A. Metz Texdok BV Urk Country: The Netherlands Designer: Gaastmeer Displacement (t): 160 Gross tonnage: 114 ton Net tonnage: 47 ton CE norm: NA Hull material: steel Hull colour: Hempel Hempathane 2 component new painted august 2018 red Hull thickness (mm): all according RH certification demands 7 and 9 mm Hull shape: round-bilged Keel type: box keel Superstructure material: steel Deck material: steel Deck finish: flexiteak teak imitation Superstructure deck finish: non-skid paint Cockpit deck finish: flexiteak teak imitation Antifouling (year): Hempel Olympic Antifouling 2018 august Fuel tank (litre): total 8000 l. (8m3) in 2 x 4000 l. tanks steel Level indicator (fuel tank): yes Freshwater tank (litre): total 6000 l. (6m3) in 2 x 1300 & 2 x 1700 l. tanks steel Level indicator (freshwater): yes Blackwater tank (litre): 1300 l. steel Level indicator (blackwater): yes Blackwater tank extraction: deck extraction + pump Greywater tank (litre): total 2400 l 2,4m3) in 2 1200 l tanks Level indicator (greywater): yes Wheel steering: classic wheel steering or electric joystic hydraulic Inside helm position: yes Outside helm position: yes Emergency tiller: emergency helm More info on hull: LOD 24,73 Extra info: Certification Holland RH-Z1234+, CCV (12+4) or 36 daysailing Extra info: Virgin Island registry - 50 passengers plus 10 crew BVI coastal Extra info: Last docking august 30 2018 The comfortable schooner Eldorado is ideally for private and commercial use. She is very well maintained, under Dutch flag, with running certificates for 50 pax day sail and 16 long voyages. With a strong main engine, silent generators, bow thruster, and high interinational safety standards you can sail all over the world. Business Opportunity: The schooner is doing day sail excursions for hotel guests and cruise line passengers in different ports of the Caribbean and Germany. The seller would appreciate this business can go ahead. Investment could also be considered.
For more information: SCHOONER ELDORADO for sale at De Valk Yachtbrokers - Click here:Mehr anzeigen",2007,Schooner,Eldorado,Slup Boote,38.0,diesel,steel,,germany
10,1990 Custom Aegean Builders SA Poseidon 1231990 Custom Aegean Builders SA Poseidon 123,500000.0,"-, italien",Union Yachts Broker,8293536,"ARIADNE, a 37.49m sailing yacht built in Greece and delivered in 1990, is the flagship of Aegean Builders. She is the only Poseidon 123 model. The exterior design of this luxury vessel is the work of Antonis Ploutis, who also completed the naval architecture. The yacht was refitted in 2001; in 2010 the owner took the boat to a shipyard in Tuscany to make a further refit, then he dismantled trees, furnishings and accessories with the intention of rebuilding them in a more modern version. The owner was unable to complete his project, so the boat is now looking for an owner who wants to restore her to the splendor of her when she was designed. We estimate that the cost for the total refitting can be around € 1,200,000 / 1,500,000, but this amount is only indicative because it varies according to the owner's needs.
English ARIADNE, a 37.49 m sailing yacht built in Greece and delivered in 1990, is the flagship of Aegean Builders. Lei it is the only Poseidon 123 model. The exterior design of this luxury boat is the work of Antonis Ploutis, who also completed the naval architecture. The Yacht was refitted in 2001; in 2010 the owner took the boat to a shipyard in Tuscany to do a further refitting, then dismantled trees, furnishings and accessories with the intention of rebuilding them in a more modern version. The owner could not complete his project, so the boat today is looking for an owner who wants to bring it back to the splendor of when lei it was designed. We estimate that the cost for the total refitting can be around € 1,200,000 / 1,500,000, but this amount is only indicative because it varies according to the needs of the owner.
Française ARIADNE, a voilier de 37.49 m construit en Grèce et livré in 1990, est le navire amiral d’Aegean Builders. Lei c'est le seul modèle Poséidon 123. Le design extérieur de ce bateau de luxe est l'œuvre d 'Antonis Ploutis, here a également complété naval architecture. The yachts at été réaménagé in 2001; In 2010, the owners in emmené le bateau dans un chantier naval en Toscane pour effectuer un nouveau réaménagement, puis lei a démantelé les arbres, le furniture et les accessoires dans le but de les reconstruire dans une version plus modern. Le propriétaire n’a pas pu terminer are project of her, alors le bateau est aujourd’hui à la recherche d ’un propriétaire qui veut le ramener à la splendendeur de l'époque où her the a été conçu. Nous estimons que le coût du réaménagement total peut être d’environ 1 200 000 € / 1 500 000 €, corn ce montant n’est qu'indicatif car il vari en fonction des besoins du propriétaire.
Deutsch ARIADNE, eine 37.49 m lange Segelyacht, die in Griechenland gebaut und 1990 ausgeliefert wurde, ist das Flaggschiff von Aegean Builders. She es ist das einzige Poseidon 123-Modell. Das äußere Design dieses Luxusbootes ist das Werk von Antonis Ploutis, der auch die Marinearchitektur vervollständigt hat. Die Yacht wurde 2001 umgebaut; Im Jahr 2010 brachte der Besitzer das Boot zu einer Werft in der Toskana, um eine weitere Umrüstung durchzuführen, und demontierte dann Bäume, Möbel und Accessoires mit der Absicht, sie in einer moderneren Version wieder aufzubauen. Der Besitzer konnte sein Projekt nicht abschließen, daher sucht das Boot heute nach einem Besitzer, der es wieder in den Glanz der Zeit bringen möchte, als lei es entworfen wurde. Wir schätzen, dass die Kosten für die gesamte Umrüstung etwa 1,200,000 € / 1,500,000 betragen können, aber dieser Betrag ist nur indikativ, da er je nach den Bedürfnissen des Eigentümers variiert.
Español ARIADNE, a yacht of 37.49 m built in Greece and entered in 1990, she is the buque insignia de Aegean Builders. She is the only model Poseidón 123. The exterior design of this boat is the obra of Antonis Ploutis, quien también completed the naval architecture. El yate was reacondicionado in 2001; in 2010, the owner llevó el barco a astillero en la Toscana para hacer un nuevo reacondicionamiento, luego desmanteló árboles, muebles y accesorios with the intentions of reconstruirlos in a versión más modern. The owner cannot be completed on his project, for the boat that is hoy is getting an owner who was donating it to the explorer of when she was diseñado. Estimamos that the coasts of the reacondicionamiento total puede rondar los 1.200.000 € / 1.500.000 €, but this cantidad is only indicative porque varía según las necesidades of the owner.
Россию ARIADNE, 37,49-метровая парусная яхта, построенная в Греции и поставленная в 1990 году, являегогофнфнагонфен. She это единственная модель Poseidon 123. Внешний дизайн этой роскошной лодки является работой Антоникикотекотекотекотекотекотекотекоток Яхта была переоборудована в 2001 году; В 2010 году владелец отвез лодку на верфь в Тоскане, чтобы сделать дальнейшую переоборудование, затем демонтировал деревья, мебель и аксессуары с намерением перестроить их в более современном варианте. Владелец не сncech завершить сой проект, поророму лодка сеsis ищет владелца, который х smell По нашим оценкам, стоимость полного переоборудования может составлять около € 1 200 000 / 1 500 000, но эта сумма является только показательной, потому что она варьируется в зависимости от потребностей владельца.Mehr anzeigen",1990,Custom,Aegean Builders SA Poseidon 123,Klassische Segelboote,37.5,diesel,steel,,italy
